"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1853255125906932055","Mon Nov 04 01:57:08 +0000 2024","14","Rafael Axel seorang pemuda 19 tahun dari Gayungan Surabaya ditangkap setelah menyamar sebagai polisi dan memperdaya lebih dari 10 wanita. Senin Hujan Presiden Prabowo Jay Idzes LPDP https://t.co/8yT04H1nr3","1853255125906932055","https://pbs.twimg.com/media/GbgVKHVbYAAElgC.png","","in","Victoria 3922","0","1","8","https://x.com/trtestella/status/1853255125906932055","1819967836112199680","trtestella"
"1851949646652080178","Thu Oct 31 23:48:27 +0000 2024","647","@MerrMagda Dari manapun dananya LPDP BOS atau Dimas Kanjeng sekalipun. Yang penting fokus penggunaannya 1. Jangan dipakai untuk korupsi mark up seremonial 2. Naikkan gaji guru existing 3. Perbanyak jumlah guru hingga ideal. Utamakan rekrut guru honorer dan selanjutnya haramkan sistem","1852135578709692543","","MerrMagda","in","Rai Timor","1","4","69","https://x.com/striker_tunggal/status/1852135578709692543","310029816","striker_tunggal"
"1853955381623734524","Wed Nov 06 00:19:42 +0000 2024","15","Kalo gini gw lebih sepakat dana @LPDP_RI dialokasikan buat pembangunan infrastruktur dalam negeri. Membangun sekolah2 yang lebih baik melatih guru2 agar kapasitasnya meningkat. Buat apa dana rakyat dipake bayarin orang yg mau kabur dari Indonesia? https://t.co/hx1wkgx2Re","1853955381623734524","https://pbs.twimg.com/media/GbqSmB4aIAAkBhS.jpg","","in","Jakarta. ID.","4","1","16","https://x.com/pinguinprop/status/1853955381623734524","61379139","pinguinprop"
"1853482673853104476","Mon Nov 04 17:01:20 +0000 2024","44","Israel terkutuk Tag : denny sumargo Darto Indramayu dina mariana malam gigi hadid kevin diks pro judi online budi arie dai bachtiar senin LPDP densu https://t.co/vYCz8Go7fR","1853482673853104476","https://pbs.twimg.com/ext_tw_video_thumb/1853482588565889024/pu/img/gostYDmjyaT7yqK5.jpg","","in","indonesia","0","6","20","https://x.com/LiliAngelica6/status/1853482673853104476","1219063624699768832","LiliAngelica6"
"1853405988470350119","Mon Nov 04 11:56:36 +0000 2024","20","Gue dlu dijelasin gini tapiiii.... Dana abadi yg dipake buat uang muter buat LPDP dri investasi itu juga awalnya APBN dan APBN itu dari tax.. Jdi mau secara akuntansinya uangnya bukan lgi dri APBN tpi hasilnya bunga dri investasi. Duit yg di-investasikan itu awalnya tetap pajak","1853405988470350119","","","in","","1","1","6","https://x.com/cansdos/status/1853405988470350119","1221989700228939777","cansdos"
"1853743829717045749","Tue Nov 05 10:19:04 +0000 2024","2","Senang sekali bisa bertemu dengan kawan lama yang sedang menempuh PhD program di INCIEF University Malaysia. Ia bercerita banyak hal dari mulai sistem pendidikan Malaysia yang bagus telatnya beasiswa B** LPDP hingga banyak hal yg lain tentu saja. https://t.co/ikb6knDsSl","1853743829717045749","https://pbs.twimg.com/media/GbnSKnnbsAAHx-s.jpg","","in","","0","1","0","https://x.com/choo_lis/status/1853743829717045749","1343967642","choo_lis"
"1851987008677384618","Thu Oct 31 13:58:05 +0000 2024","7","beneran ky mahasiswa ikut program exchange lpdp https://t.co/ZwpC3YVguq","1851987008677384618","https://pbs.twimg.com/media/GbOUXLNa4AAmvog.jpg","","in","20, Jakarta ♡","0","1","0","https://x.com/augustmarkie/status/1851987008677384618","1746924843067658241","augustmarkie"
"1852659690850935139","Sat Nov 02 10:31:05 +0000 2024","9","Alasanku ga ngejar LPDP dulu meski udah habis biaya buat belajar IELTS sampai seminar dari alumni LPDP yang hampir 2 jeti karena sesimpel sadar kalau niatku ga sepenuhnya belajar dan mikir kalau balik sini mau ngapain? Aku omongin di sini https://t.co/4VyguWLqWm","1852659690850935139","","","in","Wordholic Planet","0","2","1","https://x.com/Reffi_angel/status/1852659690850935139","85726841","Reffi_angel"
"1853391851082207622","Mon Nov 04 11:00:26 +0000 2024","3","monyettt gue keselnya baru skrg dikata yg non awardee lpdp ga dituntut belajar mulu riset mulu publikasi mulu kh? yg dituntut gitu cuma awardee lpdpd aja? yaudah you do you aja deh whatever","1853391851082207622","","","in","maranello","0","1","0","https://x.com/sadtruenus/status/1853391851082207622","3388683733","sadtruenus"
"1852626217272586529","Sat Nov 02 23:28:39 +0000 2024","142","@thedufresne bener. niatnya ingin mereka menjadi pembanding eh malah jadi abuser LPDP mereka nggak mau balik. dengan biaya nearly 2M/orang dari negara itu udah bisa menyekolahkan berapa murid upgrade fasilitas sekolah-sekolah di indonesia terutama indonesia timur which is ini urgensi yg","1852855372320833617","","thedufresne","in","","0","0","8","https://x.com/blacvorest/status/1852855372320833617","1280164202","blacvorest"
"1853247336551760379","Mon Nov 04 01:26:11 +0000 2024","45","loh orang di Indo ini petty as fuck segala hal diributin. tanpa lu mention jg mereka bakal tetep protes ttg bobroknya pemerintah kok dikira orang cuma peduli sm awardee LPDP yg nyelewengin pajak negara apa?","1853247336551760379","","","in","","0","1","11","https://x.com/vandaljumawa/status/1853247336551760379","1804887737495072768","vandaljumawa"
"1853275975385231586","Mon Nov 04 03:22:47 +0000 2024","911","Memang betul kebijakan mengabdi 2n+1 perlu dikaji ulang bahkan beasiswa LPDP secara keseluruhan pun perlu dikaji ulang. Tapi itu hal lain bukan berarti itu bisa jadi alasan ga pulang padahal udah tertera di kontraknya","1853276681114640494","","gilaaaangssss","in","","5","4","64","https://x.com/gilaaaangssss/status/1853276681114640494","1119797900819587077","gilaaaangssss"
"1853535759619531037","Mon Nov 04 20:32:16 +0000 2024","5","Malam LPDP Indramayu ready #SekaliLagi Budi arie Darto Wa cek di profil #vcshijab https://t.co/Q1MQKNRnud","1853535759619531037","https://pbs.twimg.com/ext_tw_video_thumb/1853535737326784512/pu/img/mA2X6NRTATOiLQvh.jpg","","in","","0","5","5","https://x.com/BrinaTale/status/1853535759619531037","801270262792523776","BrinaTale"
"1853380232881086592","Mon Nov 04 10:14:16 +0000 2024","16","LPDP bukan student loan atau santunan. Bongkar saja jika ada penerima LPDP yang melakukan 2 hal ini: 1. Menandatangani janji untuk kembali mengabdi DI INDONESIA. 2. Melakukan penipuan ('titip koper') dg tercatat menjadi pekerja di Indonesia tetapi fisiknya di luar Indonesia.","1853380232881086592","","","in","","0","0","1","https://x.com/yosephsamodra/status/1853380232881086592","1784740256027455488","yosephsamodra"
"1852096691983519833","Thu Oct 31 21:13:56 +0000 2024","9","setuju. orang mau kerja (office work) mah gausa di prioritasin LPDP. mending untuk orang yang bener-bener mau jadi akademisi / pengusaha. jadi karyawan mah kesannya cuman mau orgasme ijazah pake LPDP lagi . pun tetep ada manfaatnya tapi return ke negaranya ga maksimal","1852096691983519833","","","in","","0","1","0","https://x.com/nabilfdhlurrhmn/status/1852096691983519833","1597789967773597696","nabilfdhlurrhmn"
"1853008519043358751","Sun Nov 03 09:37:12 +0000 2024","2","Hari hari menikmati ribut LPDP https://t.co/FINEonTRAl","1853008519043358751","https://pbs.twimg.com/ext_tw_video_thumb/1853008511204282368/pu/img/bc4_1MTWyn3yjY16.jpg","","in","大阪府","0","1","0","https://x.com/BhismoCabbage/status/1853008519043358751","60032952","BhismoCabbage"
"1853584926190563399","Mon Nov 04 23:47:39 +0000 2024","10","it is true klo di indonesia ada banyak field yg pekerjaannya ga diwadahi. tp klo emg dr awal targetnya mau kabur dari indo yaaaaa jaaaaangan pake lpdp","1853584926190563399","","","in","","0","1","1","https://x.com/_jibsooni_/status/1853584926190563399","1019001108927152128","_jibsooni_"
"1853821742839668877","Tue Nov 05 15:28:40 +0000 2024","9","Lah trs dokter STRnya ttp ditahan sementara awardee non dokter bebas ngapain aja? Kok kebijakannya ga jelas gini? Kalo gitu tujuan utama awardee LPDP bukan buat mengabdi dan melayani negara dong","1853821742839668877","","","in","jujutsu high","0","1","1","https://x.com/100000sunny/status/1853821742839668877","895168164803358720","100000sunny"
